"","HHID","PN","MB014","MC150","MC270M1","MC018","MZ216","MQ015","MQ020","MQ025","MQ030","MQ035","MQ066","MQ107","MQ115","MQ121"
"204","012118","030",NA,NA,98,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","012124","020",NA,5,NA,5,11,NA,99999999,NA,NA,NA,NA,NA,NA,NA
"206","012124","030",NA,5,NA,5,11,NA,99999999,NA,NA,NA,NA,NA,NA,NA
"207","012135","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,376
"208","012135","030",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,376
"209","012145","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","012161","010",NA,5,NA,5,14,NA,9000,NA,NA,NA,NA,NA,NA,NA
"211","012161","020",NA,5,6,1,16,NA,9000,NA,NA,NA,NA,NA,NA,NA
"212","012162","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","012172","010",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","012172","020",NA,5,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","012179","010",NA,1,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","012183","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,9999,NA,NA
"217","012195","010",NA,5,6,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","012196","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","012196","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","012218","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","012218","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","012232","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,999999,NA
"223","012232","040",NA,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,999999,NA
"224","012235","010",NA,5,NA,5,12,NA,15000,NA,NA,NA,NA,NA,NA,NA
"225","012235","040",NA,5,NA,5,12,NA,15000,NA,NA,NA,NA,NA,NA,NA
"226","012242","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","012242","020",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","012243","020",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","012243","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","012252","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","012257","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","012257","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","012273","010",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","012273","040",NA,5,2,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","012274","010",NA,5,5,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","012274","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","012276","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","012276","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","012280","020",NA,5,NA,5,17,10000,NA,NA,NA,NA,NA,NA,NA,NA
"240","012280","030",NA,5,NA,5,17,10000,NA,NA,NA,NA,NA,NA,NA,NA
"241","012285","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","012292","010",NA,5,NA,5,14,NA,6000,NA,NA,NA,NA,NA,NA,NA
"243","012292","020",NA,NA,NA,5,13,NA,6000,NA,NA,NA,NA,NA,NA,NA
"244","012310","010",NA,5,NA,5,12,0,NA,0,NA,NA,4000,NA,NA,NA
"245","012318","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","012319","010",NA,5,NA,5,12,NA,30000,NA,18000,NA,NA,NA,NA,NA
"247","012344","010",NA,5,NA,5,16,30000,NA,NA,NA,NA,NA,NA,NA,NA
"248","012344","020",NA,5,NA,5,16,30000,NA,NA,NA,NA,NA,NA,NA,NA
"249","012393","020",NA,5,NA,5,14,NA,3640,3640,NA,NA,NA,NA,NA,NA
"250","012393","030",NA,1,NA,5,14,NA,3640,3640,NA,NA,NA,NA,NA,NA
"251","012394","010",NA,5,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","012401","040",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","012443","040",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","012445","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","012455","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","012458","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","012474","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","012479","010",NA,5,NA,5,16,NA,2000,NA,NA,NA,NA,NA,NA,NA
"259","012481","010",NA,5,NA,5,14,4000,99999998,NA,NA,NA,NA,NA,NA,NA
"260","012481","011",NA,1,NA,5,16,4000,99999998,NA,NA,NA,NA,NA,NA,NA
"261","012484","010",NA,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","012484","020",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","012494","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","012507","010",NA,5,NA,1,17,NA,113000,NA,NA,NA,NA,NA,NA,NA
"265","012510","010",NA,5,97,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","012510","020",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","012512","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","012512","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","012513","010",NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","012516","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","012516","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","012520","040",NA,NA,NA,5,10,NA,40000,NA,NA,NA,14000,NA,NA,NA
"273","012529","020",NA,5,NA,1,17,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"274","012543","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","012549","010",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","012549","010",NA,5,NA,1,14,NA,99999999,NA,NA,99999999,NA,NA,NA,NA
"277","012549","010",NA,5,NA,1,14,99999998,99999998,99999998,NA,99999998,NA,NA,NA,NA
"278","012549","011",NA,1,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","012549","011",NA,1,NA,1,14,NA,99999999,NA,NA,99999999,NA,NA,NA,NA
"280","012549","011",NA,1,NA,1,14,99999998,99999998,99999998,NA,99999998,NA,NA,NA,NA
"281","012549","040",NA,1,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","012549","040",NA,1,NA,5,16,NA,99999999,NA,NA,99999999,NA,NA,NA,NA
"283","012549","040",NA,1,NA,5,16,99999998,99999998,99999998,NA,99999998,NA,NA,NA,NA
"284","012562","011",NA,5,3,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","012571","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","012573","010",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","012573","011",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","012574","020",NA,5,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","012586","010",NA,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","012586","020",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","012588","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
