"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OY005","OY006","OY007","OY008","OY009","OY010","OY011","OY012","OY013","OY014","OY015","OY016","OY017","OY018","OY019","OY020","OY021","OY022","OY023","OY024","OY025","OY026","OY028","OY029","OY062","OY063","OY064","OY065","OY066","OY067","OY068","OY069","OY070","OY071","OY072","OY073","OY074","OY075","OY076","OY077","OY078","OY079","OY080","OY081","OY082","OY083","OY084","OY085","OY086","OY087","OY088","OY089","OY090","OY091","OY092","OY093","OY094","OY095","OY096","OY097","OY098","OY100","OY101","OY102","OY103","OY104","OY105","OY106","OY107","OY108","OY109","OY110","OY111","OY112","OY113","OY114","OY115","OVDATE","OVERSION","year"
"36","015497","040","0","0","010",5,1,5,211,103,558,748,NA,58,21,35,46,25,47,223,104,68,NA,NA,NA,NA,NA,NA,NA,129,53,75,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,6,24,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,453,1,247,NA,1,145,NA,NA,NA,38,NA,841,372,NA,NA,NA,92,NA,171,16,3999,6,2,"14"
"37","015833","010","0","0","020",5,5,1,69,51,489,546,NA,55,21,24,48,18,42,143,32,48,NA,NA,NA,NA,NA,NA,1,73,56,75,46,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,216,335,168,2306,818,24,NA,NA,32,NA,1005,407,1464,1,NA,410,112,376,23,8864,4,2,"14"
"38","015833","020","0","0","010",1,1,5,421,166,507,650,NA,53,21,22,66,29,49,171,25,56,NA,NA,NA,NA,NA,NA,1,89,55,87,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,9,NA,NA,NA,18,14,22,NA,NA,NA,NA,NA,NA,100,412,2,327,NA,2358,104,NA,NA,NA,29,NA,536,349,NA,NA,NA,223,NA,243,18,6350,4,2,"14"
"39","015836","010","0","0","020",1,1,1,166,41,402,533,NA,48,21,25,58,18,27,123,19,59,NA,NA,NA,NA,NA,NA,4,77,18,35,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,23,10,NA,NA,NA,6,17,35,NA,NA,NA,NA,NA,NA,98,312,136,227,211,1,382,323,NA,NA,64,NA,511,255,568,60,NA,158,55,141,11,4574,7,2,"14"
"40","015836","020","0","0","010",5,5,5,62,76,1037,545,NA,104,21,23,59,22,31,135,23,68,NA,NA,NA,NA,NA,NA,1,47,28,44,40,6,13,12,NA,NA,NA,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,4,388,NA,1,78,NA,NA,NA,73,NA,1079,454,NA,NA,NA,132,NA,256,17,4219,7,2,"14"
"41","015893","010","0","0","020",5,5,1,92,47,527,591,NA,53,22,28,45,33,59,174,35,57,NA,NA,NA,NA,NA,NA,2,75,13,36,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,11,19,NA,NA,NA,19,10,10,NA,NA,NA,NA,NA,NA,91,NA,301,240,148,1,63,NA,NA,NA,27,NA,381,435,1029,25,NA,147,68,239,15,4389,3,2,"14"
"42","015893","020","0","0","010",1,1,5,234,52,520,561,NA,58,22,35,47,22,27,128,30,52,NA,NA,NA,NA,NA,NA,2,73,47,69,49,10,13,8,NA,NA,NA,NA,NA,NA,13,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,374,2,294,NA,1,90,NA,NA,NA,29,NA,665,375,NA,NA,NA,141,NA,217,14,3580,3,2,"14"
"43","016116","010","0","0","020",5,5,1,87,91,951,882,NA,68,22,26,109,27,121,330,70,103,NA,NA,NA,NA,NA,NA,1,99,48,79,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,17,NA,NA,NA,NA,NA,NA,27,14,10,NA,NA,NA,96,NA,2,456,344,3103,451,121,NA,NA,70,NA,1386,369,943,25,NA,220,NA,117,32,9696,4,2,"14"
"44","016116","020","0","0","010",1,1,5,1042,92,715,814,NA,84,25,34,110,31,87,269,38,70,NA,NA,NA,NA,NA,NA,1,97,38,94,59,11,16,17,6,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1141,3,495,NA,5534,102,NA,NA,NA,99,NA,1045,370,NA,NA,NA,260,NA,320,17,12069,2,2,"14"
"45","016650","020","0","0","030",1,1,5,309,47,725,605,NA,48,22,21,44,20,52,147,29,49,NA,NA,NA,NA,NA,NA,2,106,52,74,51,7,7,8,NA,NA,NA,NA,NA,NA,13,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,498,1,301,NA,2,432,35,NA,NA,78,NA,1374,359,NA,NA,NA,321,NA,127,22,5248,3,2,"14"
