"","HHID","PN","PSUBHH","OSUBHH","PPN_SP","PCSR","PFAMR","PFINR","PP155","PP156","PP195","PP002","PP196","PP166","PP197","PP168","PP005","PP006","PP059","PP007","PP009","PP014","PP015","PP016","PP017","PP123","PP018","PP181","PP182","PP020","PP028","PP102","PP029","PP157","PP107","PP175","PP176","PP177","PP178","PP032","PP111","PP112","PP183","PP047","PP113","PP149","PP150","PP180","PP097","PP041","PP185","PP056","PVDATE","PVERSION","year"
"393","113083","020","0","0","010",1,1,1,13,0,1,1,"more",100,"gained",0,100,100,50,NA,1,NA,NA,NA,NA,NA,95,50,50,NA,98,NA,75,NA,NA,25,NA,30,20,NA,NA,50,50,50,2,1,NA,NA,2,NA,1,1,8,1,"16"
"394","114151","010","0","0","020",1,5,1,15,0,1,1,"less",0,"gained",0,100,75,10,NA,1,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,60,0,15,NA,NA,0,10,NA,10,50,1,2,50,50,1,NA,3,1,3,1,"16"
"395","114151","020","0","0","010",5,1,5,14,0,1,1,NA,NA,NA,NA,100,100,100,NA,1,20,0,NA,NA,NA,NA,50,0,NA,NA,NA,50,2,80,100,NA,10,0,50,0,NA,100,10,NA,2,0,60,3,NA,3,1,4,1,"16"
"396","114556","010","0","0","020",1,5,5,12,0,1,1,NA,NA,NA,NA,40,40,40,NA,1,NA,NA,10,NA,NA,NA,5,5,NA,NA,NA,50,1,40,50,NA,40,40,40,50,NA,50,50,2,1,NA,NA,2,NA,3,1,3,1,"16"
"397","114556","020","0","0","010",5,1,1,15,0,1,1,"more",20,"fallen",5,75,5,0,NA,1,NA,NA,5,NA,NA,NA,5,0,NA,NA,NA,70,NA,85,80,NA,40,10,5,0,NA,40,10,NA,2,2,5,3,NA,3,1,3,1,"16"
"398","114742","010","0","0","020",1,1,1,14,0,1,1,"less",50,"fallen",10,80,30,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,50,50,NA,0,NA,0,10,NA,20,30,NA,2,30,30,2,NA,1,1,4,1,"16"
"399","114742","020","0","0","010",5,5,5,9,0,1,1,NA,NA,NA,NA,100,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,50,2,50,0,0,NA,NA,0,50,NA,50,50,2,1,NA,NA,3,NA,3,1,5,1,"16"
"400","115355","010","0","0","020",1,1,5,13,0,1,1,NA,NA,NA,NA,75,90,80,NA,1,NA,NA,5,NA,NA,NA,1,0,NA,NA,NA,50,1,50,99,NA,90,90,5,10,NA,50,65,NA,2,5,30,1,NA,2,1,3,1,"16"
"401","115355","020","0","0","010",5,5,1,14,0,1,1,"less",20,"fallen",10,90,90,80,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,50,NA,10,5,20,40,NA,50,50,2,1,NA,NA,2,NA,3,1,3,1,"16"
"402","115688","010","0","0",NA,1,1,1,10,2,1,1,NA,NA,NA,NA,80,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,80,NA,NA,0,998,NA,0,998,NA,1,NA,NA,3,NA,1,1,3,1,"16"
"403","116031","020","0","0",NA,1,1,1,14,0,1,1,"more",50,"fallen",10,80,80,20,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,0,0,NA,NA,0,80,NA,80,60,NA,2,20,20,2,NA,2,2,4,1,"16"
"404","116168","010","0","0","020",1,5,1,14,0,1,1,"less",80,"gained",10,95,90,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,25,50,NA,50,20,10,5,NA,5,50,2,1,NA,NA,3,NA,3,1,5,1,"16"
"405","116168","020","0","0","010",5,1,5,12,0,1,1,NA,NA,NA,NA,50,25,50,NA,1,NA,NA,80,NA,NA,80,10,60,NA,50,2,50,NA,NA,10,NA,50,100,NA,50,NA,50,50,2,1,NA,NA,3,NA,1,1,5,1,"16"
"406","119448","010","0","0",NA,1,1,1,15,0,1,1,"less",80,"gained",0,100,100,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,90,100,NA,10,0,0,50,NA,80,75,NA,2,5,0,2,NA,1,1,4,1,"16"
"407","119819","010","0","0","020",1,1,5,11,0,1,1,NA,NA,NA,NA,90,80,60,NA,1,NA,NA,NA,NA,NA,NA,40,10,NA,NA,NA,80,NA,65,85,NA,70,35,3,NA,50,50,50,2,1,NA,NA,2,NA,3,1,5,1,"16"
"408","119819","020","0","0","010",5,5,1,15,0,1,1,"more",60,"gained",20,100,95,75,NA,1,NA,NA,NA,50,2,15,5,0,NA,40,NA,25,NA,NA,75,NA,50,20,NA,NA,50,50,70,NA,2,15,15,2,NA,3,1,5,1,"16"
"409","120881","010","0","0","011",5,1,1,14,0,1,1,"less",70,"gained",50,90,80,0,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,60,20,NA,20,10,10,50,NA,60,50,2,1,NA,NA,3,NA,2,1,5,1,"16"
"410","120881","011","0","0","010",1,5,5,14,1,1,1,NA,NA,NA,NA,70,20,0,NA,1,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,50,60,NA,50,5,999,100,NA,100,10,NA,2,50,50,1,NA,2,1,5,1,"16"
"411","121772","020","0","0","021",1,1,1,13,0,1,1,"more",10,"gained",0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,75,NA,0,NA,0,100,NA,100,50,1,2,10,10,2,NA,3,1,4,1,"16"
"412","121781","010","0","0","020",5,5,5,11,0,1,1,NA,NA,NA,NA,30,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,50,50,NA,40,40,0,NA,NA,60,40,NA,2,40,50,2,NA,3,1,8,1,"16"
"413","121781","020","0","0","010",1,1,1,13,0,1,1,"more",50,"fallen",50,0,NA,NA,0,1,50,50,NA,NA,NA,0,0,NA,NA,50,2,0,NA,NA,50,NA,0,NA,NA,50,NA,50,50,2,1,NA,NA,3,NA,2,1,7,1,"16"
"414","122692","010","0","0","020",1,5,5,12,0,1,1,NA,NA,NA,NA,100,100,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,90,NA,70,10,15,20,NA,50,70,NA,2,10,10,2,NA,3,1,7,1,"16"
"415","122692","020","0","0","010",5,1,1,14,0,1,1,"less",25,"gained",50,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,100,NA,60,40,50,75,NA,50,50,2,1,NA,NA,2,NA,3,1,7,1,"16"
"416","122719","010","0","0",NA,1,1,1,12,3,1,1,"more",0,"fallen",100,100,0,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,998,NA,NA,NA,998,998,NA,0,100,NA,2,100,NA,2,NA,1,1,10,1,"16"
"417","123933","010","0","0","020",5,5,5,11,0,1,1,NA,NA,NA,NA,100,0,NA,NA,1,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,80,NA,75,100,NA,100,0,0,0,NA,0,100,NA,2,20,NA,1,NA,1,1,4,1,"16"
"418","123933","020","0","0","010",1,1,1,13,0,1,1,"more",25,"gained",50,25,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,90,NA,40,0,0,0,NA,50,0,NA,2,NA,50,3,NA,2,3,4,1,"16"
"419","124731","010","2","2",NA,1,1,1,14,0,1,1,"less",80,"gained",60,10,0,NA,NA,1,20,50,NA,NA,NA,NA,90,90,NA,NA,NA,90,NA,70,50,NA,40,10,0,10,NA,20,50,2,1,NA,NA,3,NA,1,1,4,1,"16"
"420","124731","011","5","5",NA,1,1,1,13,0,1,1,NA,NA,NA,NA,100,0,NA,NA,1,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,50,10,NA,10,0,0,20,NA,25,30,NA,2,10,80,3,NA,3,1,3,1,"16"
