"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OW303","OW311","OW314","OW306","OW310","OW309","OW312","OW319","OW320","OW321","OW307","OVDATE","OVERSION","year"
"683","213378","020","0","0","010",5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"684","213381","010","0","0","020",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"685","213381","020","0","0","010",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"686","213419","010","1","1",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"687","213419","011","5","1",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"688","213419","020","2","2","021",5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"689","213419","021","2","2","020",1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"690","213443","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"691","213449","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"692","500005","010","0","0","020",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"693","500005","020","0","0","010",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"694","500007","010","0","0","020",1,1,1,1,2,1,1,9,NA,NA,NA,NA,NA,1,4,2,"14"
"695","500007","020","0","0","010",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"696","500067","010","0","0","020",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"697","500067","020","0","0","010",5,5,1,5,2,NA,NA,NA,NA,NA,1,1,1,1,4,2,"14"
"698","500121","010","7","7","020",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"699","500121","020","7","7","010",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"700","500126","010","0","0","020",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"701","500126","020","0","0","010",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"702","500216","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"703","500237","010","0","0","020",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"704","500237","020","0","0","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"705","500267","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"706","500299","010","0","0","020",5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"707","500299","020","0","0","010",1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"708","500307","010","0","0","020",5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"14"
"709","500307","020","0","0","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"710","500309","010","0","0","020",1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"711","500309","020","0","0","010",5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"712","500311","010","0","0","020",1,1,5,5,2,1,1,4,NA,NA,NA,NA,NA,1,2,2,"14"
"713","500311","020","0","0","010",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"714","500326","010","0","0","020",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"715","500326","020","0","0","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"716","500336","010","0","0","020",5,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"717","500336","020","0","0","010",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"718","500346","010","0","0","020",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"719","500346","020","0","0","010",5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"720","500356","010","0","0","020",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"721","500356","020","0","0","010",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"722","500437","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"723","500470","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"724","500482","010","0","0","020",5,5,1,5,2,1,1,4,NA,NA,1,1,4,1,3,2,"14"
"725","500482","020","0","0","010",1,1,5,5,2,1,1,4,NA,NA,NA,NA,NA,1,3,2,"14"
"726","500560","010","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"727","500598","010","0","0","011",1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"728","500648","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"729","500681","010","0","0","020",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"730","500681","020","0","0","010",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"731","500739","010","0","0","020",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"732","500739","020","0","0","010",1,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"733","500740","010","0","0","020",5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"734","500740","020","0","0","010",1,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"735","500749","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,"14"
"736","500782","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"737","500803","010","0","0","020",1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"738","500803","020","0","0","010",5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"739","500818","010","0","0","020",5,5,1,1,2,1,1,4,NA,NA,NA,NA,NA,1,3,2,"14"
"740","500818","020","0","0","010",1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,1,3,2,"14"
"741","500834","010","0","0","020",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
