"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MY005","MY006","MY007","MY008","MY009","MY010","MY011","MY012","MY013","MY014","MY015","MY016","MY017","MY018","MY019","MY020","MY021","MY022","MY023","MY024","MY025","MY026","MY027","MY028","MY029","MY030","MY031","MY032","MY033","MY034","MY035","MY036","MY037","MY038","MY039","MY040","MY041","MY042","MY043","MY044","MY045","MY046","MY047","MY048","MY049","MY050","MY051","MY052","MY053","MY054","MY055","MY056","MY057","MY058","MY059","MY060","MY061","MY062","MY063","MY064","MY065","MY066","MY067","MY068","MY069","MY070","MY071","MY072","MY073","MY074","MY075","MY076","MY077","MY078","MY079","MY080","MY081","MVDATE","MVERSION","year"
"879","500299","010","0","0","020",1,1,5,272.614,69.927,351.739,1044.661,NA,48.256,48.285,9.256,53.071,17.933,44.542,160.032,21.149,NA,NA,NA,NA,NA,NA,NA,18.036,70.282,20.4,70.498,97.183,61.178,31.714,50.169,111.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.332,57.657,221.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.331,223.9,362.388,255.296,NA,1958.654,2085.607,NA,NA,35.477,NA,575.378,409.952,NA,NA,NA,83.888,NA,107.561,341.318,8528.142,6,5.1,"10"
"880","500299","020","0","0","010",5,5,1,99.927,53.993,444.534,684.498,NA,49.138,21.407,17.489,47.982,21.33,23.853,131.006,16.935,NA,NA,NA,NA,NA,NA,NA,2.306,46.593,18.891,70.631,87.234,56.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.779,13.061,14.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.423,122.035,70.044,329.325,NA,253.35,238.335,117.952,1705.575,752.048,NA,NA,27.12,NA,514.22,352.507,786.215,75.459,NA,101.682,101.1,332.271,249.837,7496.747,6,5.1,"10"
"881","500307","010","0","0","020",1,5,1,565.259,58.205,392.262,999.842,NA,59.867,23.17,31.414,78.626,28.805,50.273,215.929,33.656,NA,NA,NA,NA,NA,NA,NA,1.771,85.37,22.177,54.148,80.041,86.385,47.51,65.17,157.868,NA,NA,NA,70.424,28.18,46.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.28,NA,73.201,277.442,140.682,1.489,1129.871,NA,NA,42.854,NA,707.664,387.339,727.989,62.441,NA,44.527,NA,267.757,67.835,5961.909,4,5.1,"10"
"882","500307","020","0","0","010",5,1,5,295.31,59.96,428.446,738.082,NA,55.968,22.018,27.053,87.687,24.214,27.64,221.648,53.555,NA,NA,NA,NA,NA,NA,NA,1.873,79.402,25.136,58.111,81.616,61.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.598,35.124,30.888,NA,NA,NA,19.436,32.69,29.323,NA,NA,NA,NA,NA,NA,248.504,228.008,370.322,230.796,NA,1.635,143.093,NA,NA,167.877,NA,658.979,300.04,NA,NA,NA,29.59,NA,192.112,61.558,3911.509,4,5.1,"10"
"883","500309","010","0","0","020",1,5,1,238.954,56.409,486.871,578.459,NA,57.185,21.828,26.411,51.127,25.775,26.412,138.319,17.335,NA,NA,NA,NA,NA,NA,NA,2.185,43.407,15.412,61.638,91.06,42.576,22.889,25.314,35.357,NA,NA,NA,NA,NA,NA,18.396,23.789,29.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.064,NA,18.269,350.015,168.761,2016.36,643.745,NA,NA,243.968,NA,808.671,300.508,610.239,81.026,NA,106.604,NA,391.912,307.429,7735.717,7,5.1,"10"
"884","500309","020","0","0","010",5,1,5,243.484,45.513,492.83,855.168,NA,46.094,22.04,25.554,81.899,18.846,66.676,218.892,28.444,NA,NA,NA,NA,NA,NA,NA,2.167,57.277,20.036,63.473,91.027,58.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52,27.405,15.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.56,48.945,93.956,392.117,381.781,44.794,243.926,NA,2226.147,160.77,NA,NA,23.477,NA,799.491,404.065,NA,NA,NA,119.118,NA,513.485,311.638,7109.098,7,5.1,"10"
"885","500311","010","0","0","020",1,1,5,457.851,204.719,1114.656,951.597,NA,68.861,23.275,39.139,102.47,41.243,75.384,327.143,59.649,NA,NA,NA,NA,NA,NA,NA,8.375,82.074,44.112,70.466,136.627,98.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.047,22.24,15.396,NA,NA,NA,17.11,14.56,19.572,NA,NA,NA,NA,NA,NA,266.103,225.912,32.425,702.841,NA,3435.667,89.036,NA,NA,489.704,NA,1336.086,450.111,NA,NA,NA,95.088,NA,503.248,342.475,11288.837,1,5.1,"10"
"886","500311","020","0","0","010",5,5,1,148.563,44.326,621.88,718.516,NA,63.229,21.519,31.531,96.701,24.029,41.543,228.737,27.548,NA,NA,NA,NA,NA,NA,NA,1.772,75.778,35.008,54.596,81.726,59.107,28.941,33.677,22.808,NA,NA,NA,NA,NA,NA,25.435,18.018,26.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.224,NA,392.675,331.207,101.767,3583.615,732.349,NA,NA,248.125,NA,782.092,420.095,893.548,35.023,NA,142.763,NA,246.003,360.706,10336.523,2,5.1,"10"
"887","500326","010","0","0","020",5,5,1,85.68,63.04,366.585,644.237,NA,57.876,21.758,15.184,138.267,19.005,27.621,227.522,23.526,NA,NA,NA,NA,NA,NA,NA,1.927,64.67,17.1,29.996,58.364,53.437,24.011,45.835,32.56,NA,NA,NA,11.798,10.637,18.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.936,NA,28.219,251.479,196.705,1.792,1650.072,NA,NA,40.432,NA,764.343,391.298,785.924,32.925,NA,98.126,NA,140.959,94.783,5648.731,1,5.1,"10"
"888","500326","020","0","0","010",1,1,5,348.234,61.442,527.136,709.112,NA,69.609,21.499,28.948,55.272,22.245,36.856,162.005,22.711,NA,NA,NA,NA,NA,NA,NA,1.565,77.283,23.202,39.745,82.709,74.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.324,36.562,43.112,NA,NA,NA,18.742,18.267,25.255,NA,NA,NA,NA,NA,NA,265.494,378.024,322.496,263.639,NA,1.875,2013.242,NA,NA,120.194,NA,1059.351,430.474,NA,NA,NA,192.827,NA,201.08,69.745,6711.952,1,5.1,"10"
