"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"380","073093","010","0","0","040",5,1,1,16,0,1,30,2,10,50,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,70,NA,70,10,0,60,NA,40,NA,80,20,NA,2,20,30,3,NA,1,1,NA,3,1,1,2,"12"
"381","073093","040","0","0","010",1,5,5,14,0,1,NA,NA,NA,85,40,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,90,100,NA,100,80,0,90,NA,95,NA,95,40,NA,2,70,75,3,NA,1,1,NA,1,1,1,2,"12"
"382","073361","010","0","0","040",1,5,1,15,5,1,80,2,10,80,80,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,10,NA,5,5,998,60,NA,998,NA,50,998,NA,1,NA,NA,3,NA,1,1,NA,3,1,4,2,"12"
"383","073361","040","0","0","010",5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"384","073527","020","0","0",NA,1,1,1,10,0,1,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,10,NA,0,NA,0,0,NA,NA,NA,0,0,NA,2,NA,0,3,NA,1,1,NA,1,1,1,2,"12"
"385","073625","010","0","0",NA,1,1,1,14,1,1,80,1,0,50,50,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,50,80,NA,0,NA,0,40,NA,0,NA,35,998,NA,1,NA,NA,3,NA,1,1,NA,1,1,1,2,"12"
"386","073660","020","0","0",NA,1,1,1,13,1,1,50,2,35,0,NA,NA,50,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,0,0,NA,NA,0,50,1,50,NA,50,998,NA,1,NA,NA,3,NA,1,1,NA,3,1,4,2,"12"
"387","073853","010","0","0","040",1,5,1,15,0,1,30,2,10,100,100,20,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,0,20,NA,NA,0,50,2,10,NA,50,20,NA,2,50,10,1,NA,3,NA,NA,3,1,3,2,"12"
"388","073853","040","0","0","010",5,1,5,14,0,1,NA,NA,NA,100,100,10,NA,1,NA,NA,10,NA,NA,5,5,5,NA,80,NA,50,NA,NA,10,NA,5,5,NA,50,2,20,NA,40,70,NA,2,40,20,2,3,3,NA,NA,3,1,3,2,"12"
"389","074297","010","0","0","040",5,5,1,16,0,1,20,2,75,100,100,0,NA,1,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,75,0,50,NA,NA,0,100,NA,0,NA,100,60,NA,2,10,10,2,NA,1,5,NA,3,1,4,2,"12"
